Name,Abbrev,Place,Id,Code,Department,Authors,Score 3 Yr,Score Overall
Universitas Sari Mutiara Indonesia Medan,USM-INDONESIA,"KOTA MEDAN - SUMATERA UTARA, ID",609,011045,25,210,29612,49335
Universitas Katolik Indonesia Santu Paulus Ruteng,UNIKAST.PAULUS,"KAB. MANGGARAI - NUSA TENGGARA TIMUR, ID",2423,151016,13,184,29489,38245
Universitas Aisyiyah Yogyakarta,UNISA,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",1883,051022,22,220,29224,64892
Universitas Katolik Widya Mandala Surabaya,UKWMS,"KOTA SURABAYA - JAWA TIMUR, ID",412,071003,38,364,29189,120222
Universitas Iqra Buru,UNIQBU,"KAB. BURU - MALUKU, ID",3312,121007,17,118,28755,43914
Universitas Bhayangkara Jakarta Raya,UBHARAJAYA,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1082,031036,17,349,28101,49840
Universitas Islam Negeri Sultan Syarif Kasim Riau,UINSUSKARIAU,"KAB. KAMPAR - RIAU, ID",3514,201005,56,619,27922,70125
Universitas Pertahanan RI,UNHAN,"KAB. BOGOR - JAWA BARAT, ID",4479,471001,29,350,27780,55256
Universitas Indo Global Mandiri,UIGM,"KOTA PALEMBANG - SUMATERA SELATAN, ID",856,021024,15,127,27392,45597
Universitas Warmadewa,-,"KOTA DENPASAR - BALI, ID",2369,081007,26,382,27235,51587
Universitas Gunadarma,GUNADARMA,"KOTA DEPOK - JAWA BARAT, ID",407,031037,43,1037,27165,91267
Universitas Pembangunan Nasional Veteran Jawa Timur,UPNJATIM,"KOTA SURABAYA - JAWA TIMUR, ID",523,001059,26,501,26891,77336
"Badan Penelitian, Pengembangan dan Inovasi Kementerian Lingkungan Hidup dan Kehutanan",BLIKLHK,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",8101,LEMLIT-07,0,462,26888,68016
Universitas Sains Al-Quran,UNSIQ,"KAB. WONOSOBO - JAWA TENGAH, ID",24,061030,29,192,26822,43633
Universitas Muhammadiyah Jember,UNMUHJEMBER,"KAB. JEMBER - JAWA TIMUR, ID",2060,071032,31,286,26548,67064
Universitas KH. A. Wahab Hasbullah,UNWAHA,"KAB. JOMBANG - JAWA TIMUR, ID",2108,071081,15,93,26543,33066
Universitas YARSI,-,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",1074,031026,14,232,26331,61058
Kementerian Kelautan dan Perikanan,KKPRI,"KOTA ADM. JAKARTA PUSAT - DKI JAKARTA, ID",4840,LEMLIT-03,0,367,26059,78266
Universitas Musamus Merauke,UNMUS,"KAB. MERAUKE - P A P U A, ID",513,001051,29,360,25743,45354
Universitas Kuningan,UNIKU,"KAB. KUNINGAN - JAWA BARAT, ID",1426,041038,18,176,25535,43250
Politeknik Negeri Bandung,POLBAN,"KOTA BANDUNG - JAWA BARAT, ID",541,005004,41,505,25288,73586
Universitas Palangka Raya,UPR,"KOTA PALANGKARAYA - KALIMANTAN TENGAH, ID",493,001024,55,716,24922,66557
Universitas Papua,UNIPA,"KAB. MANOKWARI - PAPUA BARAT, ID",506,001045,0,463,24372,74342
Universitas Buana Perjuangan Karawang,-,"KAB. KARAWANG - JAWA BARAT, ID",1449,041062,12,182,24325,36695
Universitas Atma Jaya Yogyakarta,UAJY,"KAB. SLEMAN - DAERAH ISTIMEWA YOGYAKARTA, ID",397,051005,18,329,24162,71477
Universitas Muhammadiyah Makassar,-,"KOTA MAKASSAR - SULAWESI SELATAN, ID",2530,091004,51,639,23923,59674
Universitas Islam Negeri Raden Intan Lampung,UINRIL,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",3528,201014,45,376,23791,44632
Universitas Suryakancana,UNSUR,"KAB. CIANJUR - JAWA BARAT, ID",1418,041030,18,142,23790,49163
Universitas Bangka Belitung,UBB,"KOTA PANGKAL PINANG - KEPULAUAN BANGKA BELITUNG, ID",510,001049,27,277,23677,44953
Institut Bio Scientia Internasional Indonesia,I3L,"KOTA ADM. JAKARTA TIMUR - DKI JAKARTA, ID",1122,032016,9,72,23529,282307
IKIP Budi Utomo,IBU,"KOTA MALANG - JAWA TIMUR, ID",2122,072005,8,145,23428,37832
Institut Keguruan dan Ilmu Pendidikan Siliwangi,IKIPSILIWANGI,"KOTA CIMAHI - JAWA BARAT, ID",1477,042012,11,168,23421,40147
Politeknik Harapan Bersama,POLTEKHARBER,"KOTA TEGAL - JAWA TENGAH, ID",231,065012,11,135,23341,40344
Universitas Kristen Maranatha,-,"KOTA BANDUNG - JAWA BARAT, ID",391,041007,31,409,23309,60266
Universitas Pertamina,UPER,"KOTA ADM. JAKARTA SELATAN - DKI JAKARTA, ID",1106,031062,15,142,23220,82963
Universitas Teknokrat Indonesia,UTI,"KOTA BANDAR LAMPUNG - LAMPUNG, ID",4781,021028,13,140,23201,38102
Universitas Samudra,UNSAM,"KOTA LANGSA - ACEH, ID",515,001053,27,306,23160,42447
Universitas Potensi Utama,UPU,"KOTA MEDAN - SUMATERA UTARA, ID",610,011046,17,237,22984,40353
Politeknik Negeri Bali,PNB,"KAB. BADUNG - BALI, ID",546,005010,35,378,22927,69581
Universitas Muhammadiyah Metro,UMMETRO,"KOTA METRO - LAMPUNG, ID",835,021004,26,186,22685,55754
Institut Bisnis Dan Informatika Kesatuan,IBIKESATUAN,"KOTA BOGOR - JAWA BARAT, ID",1511,042016,10,145,22628,48806
